Row,Class,Seats
1,Up Front,ABCDEF
2,Up Front,ABCDEF
3,Up Front,ABCDEF
4,Up Front,ABCDEF
5,Up Front,ABCDEF
6,Up Front,ABCDEF
7,Economy,ABCDEF
8,Economy,ABCDEF
9,Economy,ABCDEF
10,Economy,ABCDEF
11,Economy,ABCDEF
12,Economy,ABCDEF
13,Economy,ABCDEF
14,Economy,ABCDEF
15,Economy,ABCDEF
16,Economy,ABCDEF
17,Economy,ABCDEF
18,Economy,ABCDEF
19,Economy,ABCDEF
20,Economy,ABCDEF
21,Economy,ABCDEF
22,Economy,ABCDEF
23,Economy,ABCDEF
24,Economy,ABCDEF
25,Economy,ABCDEF
26,Economy,ABCDEF
27,Economy,ABCDEF
28,Economy,ABCDEF
29,Economy,ABCDEF
30,Economy,ABCDEF
31,Economy,ABCDEF
